Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
SFER.MI,22.05,2021/12/27,15:01 CET,-0.10000038,22.08,22.1,21.94,70087,,,,,,,
SGRO.L,1392.5,2021/12/24,12:35 GMT,3.0,1388.5,1406.0,1386.2983,231500,,,,,,,
SNAP,48.68,2021/12/23,16:00 EST,1.9099998,47.35,49.07,45.96,18546369,,,,,,,
SOXX,540.81,2021/12/23,16:00 EST,5.1799927,536.7,544.31,536.69,700132,,,,,,,
SQ,167.71,2021/12/23,16:00 EST,0.33000183,166.36,168.8,164.59,6668618,,,,,,,
SRE,129.41,2021/12/23,16:02 EST,0.25,128.89,130.34,128.66,1324122,,,,,,,
SWKS,153.42,2021/12/23,16:00 EST,1.0,152.56,154.81,151.92,882853,,,,,,,
SX7P.Z,144.05,2021/12/27,15:02 CET,0.6200104,143.03,144.13,142.95,0,,,,,,,
T,24.87,2021/12/23,16:01 EST,0.09000015,24.85,25.02,24.809,43314359,,,,,,,
TAP,45.59,2021/12/23,16:02 EST,0.9300003,44.89,45.65,44.89,2374299,,,,,,,
TD,75.13,2021/12/23,16:00 EST,0.7799988,74.71,75.25,74.6,1026264,,,,,,,
TEVA,8.46,2021/12/23,16:00 EST,0.10999966,8.35,8.5,8.31,5690502,,,,,,,
TLRY,7.84,2021/12/23,16:00 EST,0.10000038,7.7637,7.955,7.53,16615933,,,,,,,
TSCO.L,287.9,2021/12/24,12:35 GMT,-0.4500122,286.8,288.25,286.5059,2067302,,,,,,,
TSE,53.68,2021/12/23,16:00 EST,1.7099991,52.46,53.92,52.26,249091,,,,,,,
TSLA,1067.0,2021/12/23,16:00 EST,58.130005,1006.8,1072.93,997.56,30456356,,,,,,,
TSN,85.22,2021/12/23,16:00 EST,0.29000092,85.21,85.75,84.94,1182182,,,,,,,
TUI.L,247.5,2021/12/24,12:35 GMT,10.100006,241.8952,247.7,239.52,1934815,,,,,,,
UHR.SW,274.6,2021/12/27,15:02 CET,2.899994,271.0,275.0,270.8,22270,,,,,,,
ULVR.L,3952.5,2021/12/24,12:35 GMT,-0.5,3948.5,3965.0,3947.0,346953,,,,,,,
UNH,495.38,2021/12/23,16:00 EST,1.25,495.0,498.15,492.81,1706591,,,,,,,
UNM,24.47,2021/12/23,16:00 EST,0.37999916,24.29,24.69,24.23,1251756,,,,,,,
V,216.62,2021/12/23,16:00 EST,-1.3400116,218.44,218.5174,216.62,4798217,,,,,,,
VFF,6.55,2021/12/23,16:00 EST,0.17000008,6.37,6.62,6.295,612837,,,,,,,
VNQ,113.15,2021/12/23,16:00 EST,-0.11999512,113.55,113.695,112.5595,6977654,,,,,,,
VOD,15.22,2021/12/23,16:00 EST,0.05000019,15.255,15.33,15.19,3451150,,,,,,,
VOD.L,112.54,2021/12/24,16:45 GMT,-0.29999542,113.0,113.46,112.485,10612775,,,,,,,
VZ,52.68,2021/12/23,16:00 EST,-0.09000015,52.85,53.09,52.67,14921402,,,,,,,
W,204.37,2021/12/23,16:00 EST,0.58000183,203.15,205.59,199.92,623827,,,,,,,
WATT,1.35,2021/12/23,16:00 EST,0.060000062,1.28,1.36,1.27,791219,,,,,,,
WFC,48.36,2021/12/23,16:01 EST,0.33000183,48.4,48.93,48.22,16025616,,,,,,,
WYNN,88.88,2021/12/23,16:00 EST,3.0099945,90.2,90.45,87.27,3336150,,,,,,,
XBI,118.22,2021/12/23,16:00 EST,1.7,116.43,119.21,115.64,10137471,,,,,,,
XOM,61.02,2021/12/23,16:01 EST,0.02999878,61.17,61.84,61.0,13543291,,,,,,,
XRX,22.45,2021/12/23,16:00 EST,0.5600014,21.97,22.48,21.91,2461029,,,,,,,
